COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE,COMMENT
San Bernardino,2019,Race/ethnicity,Black,All ages,"2,530",129.5,
San Diego,2019,Race/ethnicity,Black,All ages,"1,398",95.9,
San Francisco,2019,Race/ethnicity,Black,All ages,757,191.6,
San Joaquin,2019,Race/ethnicity,Black,All ages,"1,078",188.2,
San Luis Obispo,2019,Race/ethnicity,Black,All ages,45,90.1,
San Mateo,2019,Race/ethnicity,Black,All ages,93,50,
Santa Barbara,2019,Race/ethnicity,Black,All ages,76,111,
Santa Clara,2019,Race/ethnicity,Black,All ages,412,89.5,
Santa Cruz,2019,Race/ethnicity,Black,All ages,11,,Rate not available due to statistical instability
Shasta,2019,Race/ethnicity,Black,All ages,33,194.9,
Sierra,2019,Race/ethnicity,Black,All ages,0,0,
Siskiyou,2019,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2019,Race/ethnicity,Black,All ages,"1,036",174.9,
Sonoma,2019,Race/ethnicity,Black,All ages,108,150.9,
Stanislaus,2019,Race/ethnicity,Black,All ages,262,167.3,
Sutter,2019,Race/ethnicity,Black,All ages,18,94.6,
Tehama,2019,Race/ethnicity,Black,All ages,11,,Rate not available due to statistical instability
Trinity,2019,Race/ethnicity,Black,All ages,0,0,
Tulare,2019,Race/ethnicity,Black,All ages,99,183.4,
Tuolumne,2019,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2019,Race/ethnicity,Black,All ages,117,96.5,
Yolo,2019,Race/ethnicity,Black,All ages,91,150.5,
Yuba,2019,Race/ethnicity,Black,All ages,42,176.1,
California,2019,Race/ethnicity,Hispanic,All ages,"70,432",42.3,
Alameda,2019,Race/ethnicity,Hispanic,All ages,"1,798",45.4,
Alpine,2019,Race/ethnicity,Hispanic,All ages,0,0,
Amador,2019,Race/ethnicity,Hispanic,All ages,20,42.3,
Butte,2019,Race/ethnicity,Hispanic,All ages,107,24.4,
Calaveras,2019,Race/ethnicity,Hispanic,All ages,22,37.6,
Colusa,2019,Race/ethnicity,Hispanic,All ages,67,44.2,
Contra Costa,2019,Race/ethnicity,Hispanic,All ages,"1,823",58.1,
Del Norte,2019,Race/ethnicity,Hispanic,All ages,20,63.4,
El Dorado,2019,Race/ethnicity,Hispanic,All ages,60,20.1,
Fresno,2019,Race/ethnicity,Hispanic,All ages,"4,003",66,
Glenn,2019,Race/ethnicity,Hispanic,All ages,50,41,
Humboldt,2019,Race/ethnicity,Hispanic,All ages,69,38.2,
Imperial,2019,Race/ethnicity,Hispanic,All ages,"1,042",60,
Inyo,2019,Race/ethnicity,Hispanic,All ages,24,42.8,
Kern,2019,Race/ethnicity,Hispanic,All ages,"2,063",39.1,
Kings,2019,Race/ethnicity,Hispanic,All ages,435,46.2,
Lake,2019,Race/ethnicity,Hispanic,All ages,113,79.4,
Lassen,2019,Race/ethnicity,Hispanic,All ages,13,30.7,
Los Angeles,2019,Race/ethnicity,Hispanic,All ages,"23,985",46.5,
Madera,2019,Race/ethnicity,Hispanic,All ages,533,51.5,
Marin,2019,Race/ethnicity,Hispanic,All ages,131,28.3,
Mariposa,2019,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2019,Race/ethnicity,Hispanic,All ages,120,47.2,
Merced,2019,Race/ethnicity,Hispanic,All ages,"1,015",56.2,
Modoc,2019,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2019,Race/ethnicity,Hispanic,All ages,21,63.7,
Monterey,2019,Race/ethnicity,Hispanic,All ages,"1,130",39.1,
Napa,2019,Race/ethnicity,Hispanic,All ages,213,42.5,
Nevada,2019,Race/ethnicity,Hispanic,All ages,23,23.1,
Orange,2019,Race/ethnicity,Hispanic,All ages,"3,535",29.6,
Placer,2019,Race/ethnicity,Hispanic,All ages,170,30.2,
Plumas,2019,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2019,Race/ethnicity,Hispanic,All ages,"4,135",33.7,
Sacramento,2019,Race/ethnicity,Hispanic,All ages,"1,965",51.7,
San Benito,2019,Race/ethnicity,Hispanic,All ages,251,70.4,
San Bernardino,2019,Race/ethnicity,Hispanic,All ages,"4,969",40.4,
San Diego,2019,Race/ethnicity,Hispanic,All ages,"4,066",32.3,
San Francisco,2019,Race/ethnicity,Hispanic,All ages,606,46.8,
San Joaquin,2019,Race/ethnicity,Hispanic,All ages,"1,600",46.8,
San Luis Obispo,2019,Race/ethnicity,Hispanic,All ages,206,30.3,
San Mateo,2019,Race/ethnicity,Hispanic,All ages,793,39.1,
Santa Barbara,2019,Race/ethnicity,Hispanic,All ages,657,28.9,
Santa Clara,2019,Race/ethnicity,Hispanic,All ages,"2,057",37.4,
Santa Cruz,2019,Race/ethnicity,Hispanic,All ages,339,34.4,
Shasta,2019,Race/ethnicity,Hispanic,All ages,49,26.5,
Sierra,2019,Race/ethnicity,Hispanic,All ages,0,0,
Siskiyou,2019,Race/ethnicity,Hispanic,All ages,17,33.4,
Solano,2019,Race/ethnicity,Hispanic,All ages,658,53.5,
Sonoma,2019,Race/ethnicity,Hispanic,All ages,482,33.9,
Stanislaus,2019,Race/ethnicity,Hispanic,All ages,"1,341",47.7,
Sutter,2019,Race/ethnicity,Hispanic,All ages,87,25.9,
Tehama,2019,Race/ethnicity,Hispanic,All ages,82,41.6,
Trinity,2019,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2019,Race/ethnicity,Hispanic,All ages,"1,356",39.4,
Tuolumne,2019,Race/ethnicity,Hispanic,All ages,23,36.3,
Ventura,2019,Race/ethnicity,Hispanic,All ages,"1,121",28.3,
Yolo,2019,Race/ethnicity,Hispanic,All ages,277,35.1,
Yuba,2019,Race/ethnicity,Hispanic,All ages,78,35.6,
California,2019,Race/ethnicity,Asian/PI,All ages,"8,865",17.1,
Alameda,2019,Race/ethnicity,Asian/PI,All ages,859,19.5,
Alpine,2019,Race/ethnicity,Asian/PI,All ages,0,0,
Amador,2019,Race/ethnicity,Asian/PI,All ages,0,0,
Butte,2019,Race/ethnicity,Asian/PI,All ages,14,14.8,
Calaveras,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2019,Race/ethnicity,Asian/PI,All ages,0,0,
Contra Costa,2019,Race/ethnicity,Asian/PI,All ages,376,23,
Del Norte,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2019,Race/ethnicity,Asian/PI,All ages,14,23.8,
Fresno,2019,Race/ethnicity,Asian/PI,All ages,221,23.7,
Glenn,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Inyo,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2019,Race/ethnicity,Asian/PI,All ages,79,21.1,
Kings,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lake,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2019,Race/ethnicity,Asian/PI,All ages,"2,056",14.9,
Madera,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Marin,2019,Race/ethnicity,Asian/PI,All ages,18,9.9,
Mariposa,2019,Race/ethnicity,Asian/PI,All ages,0,0,
Mendocino,2019,Race/ethnicity,Asian/PI,All ages,0,0,
Merced,2019,Race/ethnicity,Asian/PI,All ages,40,20.6,
Modoc,2019,Race/ethnicity,Asian/PI,All ages,0,0,
Mono,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2019,Race/ethnicity,Asian/PI,All ages,38,17.9,
Napa,2019,Race/ethnicity,Asian/PI,All ages,26,24.5,
Nevada,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2019,Race/ethnicity,Asian/PI,All ages,768,13.2,
Placer,2019,Race/ethnicity,Asian/PI,All ages,57,26.6,
Plumas,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2019,Race/ethnicity,Asian/PI,All ages,211,16.2,
Sacramento,2019,Race/ethnicity,Asian/PI,All ages,753,33.4,
San Benito,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2019,Race/ethnicity,Asian/PI,All ages,193,13.9,
San Diego,2019,Race/ethnicity,Asian/PI,All ages,621,18,
San Francisco,2019,Race/ethnicity,Asian/PI,All ages,393,16.2,
San Joaquin,2019,Race/ethnicity,Asian/PI,All ages,330,31.1,
San Luis Obispo,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2019,Race/ethnicity,Asian/PI,All ages,265,13.2,
Santa Barbara,2019,Race/ethnicity,Asian/PI,All ages,20,10.9,
Santa Clara,2019,Race/ethnicity,Asian/PI,All ages,793,12.1,
Santa Cruz,2019,Race/ethnicity,Asian/PI,All ages,13,12,
Shasta,2019,Race/ethnicity,Asian/PI,All ages,24,55.9,
Sierra,2019,Race/ethnicity,Asian/PI,All ages,0,0,
Siskiyou,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2019,Race/ethnicity,Asian/PI,All ages,214,37,
Sonoma,2019,Race/ethnicity,Asian/PI,All ages,34,17.4,
Stanislaus,2019,Race/ethnicity,Asian/PI,All ages,65,22.2,
Sutter,2019,Race/ethnicity,Asian/PI,All ages,21,13.1,
Tehama,2019,Race/ethnicity,Asian/PI,All ages,0,0,
Trinity,2019,Race/ethnicity,Asian/PI,All ages,0,0,
Tulare,2019,Race/ethnicity,Asian/PI,All ages,32,23.4,
Tuolumne,2019,Race/ethnicity,Asian/PI,All ages,0,0,
Ventura,2019,Race/ethnicity,Asian/PI,All ages,39,7.4,
Yolo,2019,Race/ethnicity,Asian/PI,All ages,31,13.1,
Yuba,2019,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2019,Race/ethnicity,AI/AN,All ages,539,33,
Alameda,2019,Race/ethnicity,AI/AN,All ages,27,50.5,
Alpine,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Amador,2019,Race/ethnicity,AI/AN,All ages,0,0,
Butte,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2019,Race/ethnicity,AI/AN,All ages,0,0,
Contra Costa,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Del Norte,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2019,Race/ethnicity,AI/AN,All ages,13,20.4,
Glenn,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2019,Race/ethnicity,AI/AN,All ages,37,50.3,
Imperial,2019,Race/ethnicity,AI/AN,All ages,0,0,
Inyo,2019,Race/ethnicity,AI/AN,All ages,17,107.8,
Kern,2019,Race/ethnicity,AI/AN,All ages,12,22.8,
Kings,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lake,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2019,Race/ethnicity,AI/AN,All ages,73,33.9,
Madera,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Marin,2019,Race/ethnicity,AI/AN,All ages,0,0,
Mariposa,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2019,Race/ethnicity,AI/AN,All ages,34,107.7,
Merced,2019,Race/ethnicity,AI/AN,All ages,0,0,
Modoc,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2019,Race/ethnicity,AI/AN,All ages,12,78,
Napa,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2019,Race/ethnicity,AI/AN,All ages,0,0,
Orange,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Placer,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Plumas,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2019,Race/ethnicity,AI/AN,All ages,38,36,
Sacramento,2019,Race/ethnicity,AI/AN,All ages,23,25.6,
San Benito,2019,Race/ethnicity,AI/AN,All ages,0,0,
San Bernardino,2019,Race/ethnicity,AI/AN,All ages,19,22.9,
San Diego,2019,Race/ethnicity,AI/AN,All ages,36,24.2,
San Francisco,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Joaquin,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Luis Obispo,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Barbara,2019,Race/ethnicity,AI/AN,All ages,0,0,
Santa Clara,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Cruz,2019,Race/ethnicity,AI/AN,All ages,0,0,
Shasta,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2019,Race/ethnicity,AI/AN,All ages,0,0,
Siskiyou,2019,Race/ethnicity,AI/AN,All ages,13,98.2,
Solano,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sonoma,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Stanislaus,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sutter,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2019,Race/ethnicity,AI/AN,All ages,0,0,
Tulare,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tuolumne,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2019,Race/ethnicity,AI/AN,All ages,0,0,
Yolo,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yuba,2019,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2019,Race/ethnicity,NHPI,All ages,"1,481",107.4,
Alameda,2019,Race/ethnicity,NHPI,All ages,196,145.5,
Alpine,2019,Race/ethnicity,NHPI,All ages,0,0,
Amador,2019,Race/ethnicity,NHPI,All ages,0,0,
Butte,2019,Race/ethnicity,NHPI,All ages,0,0,
Calaveras,2019,Race/ethnicity,NHPI,All ages,0,0,
Colusa,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2019,Race/ethnicity,NHPI,All ages,107,195,
Del Norte,2019,Race/ethnicity,NHPI,All ages,0,0,
El Dorado,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Glenn,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2019,Race/ethnicity,NHPI,All ages,0,0,
Inyo,2019,Race/ethnicity,NHPI,All ages,0,0,
Kern,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kings,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lake,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2019,Race/ethnicity,NHPI,All ages,250,103.4,
Madera,2019,Race/ethnicity,NHPI,All ages,0,0,
Marin,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Modoc,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2019,Race/ethnicity,NHPI,All ages,0,0,
Monterey,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Napa,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2019,Race/ethnicity,NHPI,All ages,66,76.8,
Placer,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Plumas,2019,Race/ethnicity,NHPI,All ages,0,0,
Riverside,2019,Race/ethnicity,NHPI,All ages,39,59.7,
Sacramento,2019,Race/ethnicity,NHPI,All ages,200,129.4,
San Benito,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2019,Race/ethnicity,NHPI,All ages,36,60,
San Diego,2019,Race/ethnicity,NHPI,All ages,78,56.7,
San Francisco,2019,Race/ethnicity,NHPI,All ages,79,270.6,
San Joaquin,2019,Race/ethnicity,NHPI,All ages,48,139.6,
San Luis Obispo,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2019,Race/ethnicity,NHPI,All ages,117,103.4,
Santa Barbara,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Clara,2019,Race/ethnicity,NHPI,All ages,70,107.8,
Santa Cruz,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Shasta,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2019,Race/ethnicity,NHPI,All ages,0,0,
Siskiyou,2019,Race/ethnicity,NHPI,All ages,0,0,
Solano,2019,Race/ethnicity,NHPI,All ages,77,227,
Sonoma,2019,Race/ethnicity,NHPI,All ages,11,,Rate not available due to statistical instability
Stanislaus,2019,Race/ethnicity,NHPI,All ages,25,82.6,
Sutter,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2019,Race/ethnicity,NHPI,All ages,0,0,
Tulare,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tuolumne,2019,Race/ethnicity,NHPI,All ages,0,0,
Ventura,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yolo,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yuba,2019,Race/ethnicity,NHPI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2019,Race/ethnicity,Multi-Race,All ages,"1,993",17.2,
Alameda,2019,Race/ethnicity,Multi-Race,All ages,164,23,
Alpine,2019,Race/ethnicity,Multi-Race,All ages,0,0,
Amador,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2019,Race/ethnicity,Multi-Race,All ages,0,0,
Calaveras,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2019,Race/ethnicity,Multi-Race,All ages,0,0,
Contra Costa,2019,Race/ethnicity,Multi-Race,All ages,121,24.4,
Del Norte,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2019,Race/ethnicity,Multi-Race,All ages,129,45.4,
Glenn,2019,Race/ethnicity,Multi-Race,All ages,0,0,
Humboldt,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2019,Race/ethnicity,Multi-Race,All ages,0,0,
Inyo,2019,Race/ethnicity,Multi-Race,All ages,0,0,
Kern,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kings,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lake,2019,Race/ethnicity,Multi-Race,All ages,14,88,
Lassen,2019,Race/ethnicity,Multi-Race,All ages,0,0,
Los Angeles,2019,Race/ethnicity,Multi-Race,All ages,349,17,
Madera,2019,Race/ethnicity,Multi-Race,All ages,20,94.4,
Marin,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2019,Race/ethnicity,Multi-Race,All ages,0,0,
Mendocino,2019,Race/ethnicity,Multi-Race,All ages,0,0,
Merced,2019,Race/ethnicity,Multi-Race,All ages,15,24.4,
Modoc,2019,Race/ethnicity,Multi-Race,All ages,0,0,
Mono,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Napa,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2019,Race/ethnicity,Multi-Race,All ages,35,5.2,
Placer,2019,Race/ethnicity,Multi-Race,All ages,31,21.9,
Plumas,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2019,Race/ethnicity,Multi-Race,All ages,108,18.6,
Sacramento,2019,Race/ethnicity,Multi-Race,All ages,236,30,
San Benito,2019,Race/ethnicity,Multi-Race,All ages,0,0,
San Bernardino,2019,Race/ethnicity,Multi-Race,All ages,71,13.6,
San Diego,2019,Race/ethnicity,Multi-Race,All ages,149,10.1,
San Francisco,2019,Race/ethnicity,Multi-Race,All ages,73,21.4,
San Joaquin,2019,Race/ethnicity,Multi-Race,All ages,76,32,
San Luis Obispo,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2019,Race/ethnicity,Multi-Race,All ages,29,8.4,
Santa Barbara,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Clara,2019,Race/ethnicity,Multi-Race,All ages,57,9.1,
Santa Cruz,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Shasta,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2019,Race/ethnicity,Multi-Race,All ages,0,0,
Siskiyou,2019,Race/ethnicity,Multi-Race,All ages,0,0,
Solano,2019,Race/ethnicity,Multi-Race,All ages,88,33,
Sonoma,2019,Race/ethnicity,Multi-Race,All ages,14,11,
Stanislaus,2019,Race/ethnicity,Multi-Race,All ages,27,13.8,
Sutter,2019,Race/ethnicity,Multi-Race,All ages,0,0,
Tehama,2019,Race/ethnicity,Multi-Race,All ages,0,0,
Trinity,2019,Race/ethnicity,Multi-Race,All ages,0,0,
Tulare,2019,Race/ethnicity,Multi-Race,All ages,11,,Rate not available due to statistical instability
Tuolumne,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2019,Race/ethnicity,Multi-Race,All ages,22,10.9,
Yolo,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yuba,2019,Race/ethnicity,Multi-Race,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2020,Total population,All ages,All ages,97238,25.1,
Alameda,2020,Total population,All ages,All ages,4282,25.8,
Alpine,2020,Total population,All ages,All ages,0,0,
Amador,2020,Total population,All ages,All ages,103,31.2,
Butte,2020,Total population,All ages,All ages,474,24.2,
Calaveras,2020,Total population,All ages,All ages,111,30.4,
Colusa,2020,Total population,All ages,All ages,49,24,
Contra Costa,2020,Total population,All ages,All ages,3040,27.5,
Del Norte,2020,Total population,All ages,All ages,104,40.6,
El Dorado,2020,Total population,All ages,All ages,351,20.6,
Fresno,2020,Total population,All ages,All ages,3504,34,
Glenn,2020,Total population,All ages,All ages,55,19.5,
Humboldt,2020,Total population,All ages,All ages,443,36,
Imperial,2020,Total population,All ages,All ages,474,25.1,
Inyo,2020,Total population,All ages,All ages,47,28.3,
Kern,2020,Total population,All ages,All ages,2532,27.7,
Kings,2020,Total population,All ages,All ages,426,27.1,
Lake,2020,Total population,All ages,All ages,269,46.8,
Lassen,2020,Total population,All ages,All ages,90,33.4,
Los Angeles,2020,Total population,All ages,All ages,25920,26.2,
Madera,2020,Total population,All ages,All ages,475,30.8,
Marin,2020,Total population,All ages,All ages,280,11.7,
Mariposa,2020,Total population,All ages,All ages,31,22.8,
Mendocino,2020,Total population,All ages,All ages,315,39.8,
Merced,2020,Total population,All ages,All ages,1034,37.1,
Modoc,2020,Total population,All ages,All ages,43,57.3,
Mono,2020,Total population,All ages,All ages,40,33.3,
Monterey,2020,Total population,All ages,All ages,917,21.3,
Napa,2020,Total population,All ages,All ages,322,22.7,
Nevada,2020,Total population,All ages,All ages,174,21.6,
Orange,2020,Total population,All ages,All ages,4870,15.9,
Placer,2020,Total population,All ages,All ages,623,16.7,
Plumas,2020,Total population,All ages,All ages,57,42.2,
Riverside,2020,Total population,All ages,All ages,5888,24.9,
Sacramento,2020,Total population,All ages,All ages,5489,35.7,
San Benito,2020,Total population,All ages,All ages,219,36.5,
San Bernardino,2020,Total population,All ages,All ages,6763,31.1,
San Diego,2020,Total population,All ages,All ages,5749,17.5,
